Table,Column,Type,Null,Default
crm_accounts,id,int(11),No,
crm_accounts,account_name,varchar(100),No,
crm_accounts,account_type,int(11),No,
crm_accounts,description,Text,No,
crm_accounts,parent_account,int(11),No,
crm_accounts,phone,varchar(50),No,
crm_accounts,website,varchar(100),No,
crm_accounts,industry,int(11),No,
crm_accounts,employees,int(11),No,
crm_accounts,billing_address,text,No,
crm_accounts,billing_street,varchar(50),No,
crm_accounts,billing_city,varchar(50),No,
crm_accounts,billing_state,varchar(50),No,
crm_accounts,billing_post_code,varchar(20),No,
crm_accounts,billing_country,int(11),No,
crm_accounts,shipping_address,text,No,
crm_accounts,shipping_street,varchar(50),No,
crm_accounts,shipping_city,varchar(50),No,
crm_accounts,shipping_state,varchar(50),No,
crm_accounts,shipping_post_code,varchar(20),No,
crm_accounts,shipping_country,int(11),No,
crm_accounts,assign_to,int(11),No,
crm_accounts,created_at,timestamp,Yes,NULL
crm_accounts,created_by,int(11),No,
crm_accounts,updated_at,timestamp,Yes,NULL
crm_accounts,updated_by,int(11),No,
crm_accounts,deleted_at,timestamp,Yes,NULL
crm_accounts,deleted_by,int(11),No,
crm_accounts,project_id,int(11),No,
crm_accounts,valid,tinyint(1),No,
crm_activities,id,int(11),No,
crm_activities,activity_name,varchar(100),No,
crm_activities,activity_link,varchar(50),No,
crm_activities,activity_icon,varchar(50),No,
crm_activities,search_url,varchar(100),No,
crm_activities,sl_no,int(11),No,
crm_contacts,Id,int(11),No,
crm_contacts,account_id,int(11),No,
crm_contacts,name_title,int(11),No,
crm_contacts,first_name,varchar(50),No,
crm_contacts,last_name,varchar(50),No,
crm_contacts,Surname,varchar(50),No,
crm_contacts,Designation,varchar(100),No,
crm_contacts,Department,varchar(100),No,
crm_contacts,full_address,text,No,
crm_contacts,Street,varchar(50),No,
crm_contacts,City,varchar(50),No,
crm_contacts,State,varchar(50),No,
crm_contacts,post_code,varchar(20),No,
crm_contacts,Country,int(11),No,
crm_contacts,Mobile,varchar(50),No,
crm_contacts,office_phone,varchar(50),No,
crm_contacts,Fax,varchar(50),No,
crm_contacts,Website,varchar(100),No,
crm_contacts,Email,varchar(100),No,
crm_contacts,Industry,int(11),No,
crm_contacts,Note,text,No,
crm_contacts,nature_id,int(11),No,
crm_contacts,Image,varchar(50),No,
crm_contacts,assign_to,int(11),No,
crm_contacts,created_at,timestamp,Yes,NULL
crm_contacts,created_by,int(11),No,
crm_contacts,updated_at,timestamp,Yes,NULL
crm_contacts,updated_by,int(11),No,
crm_contacts,deleted_at,timestamp,Yes,NULL
crm_contacts,deleted_by,int(11),No,
crm_contacts,project_id,int(11),No,
crm_contacts,Valid,tinyint(1),No,
crm_leads,Id,int(11),No,
crm_leads,generated_lead_id,varchar(20),No,
crm_leads,csv_id,int(11),No,
crm_leads,csv_file,int(11),No,
crm_leads,name_title,int(11),No,
crm_leads,first_name,varchar(50),No,
crm_leads,last_name,varchar(50),No,
crm_leads,Surname,varchar(50),No,
crm_leads,Designation,varchar(100),No,
crm_leads,Department,varchar(100),No,
crm_leads,full_address,text,No,
crm_leads,Street,varchar(50),No,
crm_leads,City,varchar(50),No,
crm_leads,State,varchar(50),No,
crm_leads,post_code,varchar(20),No,
crm_leads,Country,int(11),No,
crm_leads,Mobile,varchar(50),No,
crm_leads,office_phone,varchar(50),No,
crm_leads,Fax,varchar(50),No,
crm_leads,Website,varchar(100),No,
crm_leads,Email,varchar(100),No,
crm_leads,company_name,varchar(100),No,
crm_leads,Industry,int(11),No,
crm_leads,Employees,int(11),No,
crm_leads,lead_description,varchar(200),No,
crm_leads,Rating,int(11),No,
crm_leads,lead_source,int(11),No,
crm_leads,Campaign,int(11),No,
crm_leads,lead_referred_by,varchar(100),No,
crm_leads,assign_to,int(11),No,
crm_leads,step_one_status,tinyint(4),No,
crm_leads,step_one_date,timestamp,Yes,NULL
crm_leads,step_two_status,tinyint(4),No,
crm_leads,step_two_date,timestamp,Yes,NULL
crm_leads,step_three_status,tinyint(4),No,
crm_leads,step_three_date,timestamp,Yes,NULL
crm_leads,step_four_status,tinyint(4),No,
crm_leads,step_four_date,timestamp,Yes,NULL
crm_leads,step_five_status,tinyint(4),No,
crm_leads,step_five_date,timestamp,Yes,NULL
crm_leads,Stage,tinyint(4),No,
crm_leads,created_at,timestamp,Yes,NULL
crm_leads,created_by,int(11),No,
crm_leads,updated_at,timestamp,Yes,NULL
crm_leads,updated_by,int(11),No,
crm_leads,deleted_at,timestamp,Yes,NULL
crm_leads,deleted_by,int(11),No,
crm_leads,project_id,int(11),No,
crm_leads,Valid,tinyint(1),No,
crm_lead_info_basic,Id,int(11),No,
crm_lead_info_basic,generated_lead_id,varchar(20),No,
crm_lead_info_basic,csv_id,int(11),No,
crm_lead_info_basic,csv_file,int(11),No,
crm_lead_info_basic,first_name,varchar(50),No,
crm_lead_info_basic,last_name,varchar(50),No,
crm_lead_info_basic,Designation,varchar(100),No,
crm_lead_info_basic,Department,varchar(100),No,
crm_lead_info_basic,company_name,varchar(100),No,
crm_lead_info_basic,full_address,text,No,
crm_lead_info_basic,lead_email,varchar(100),No,
crm_lead_info_basic,lead_mobile,varchar(22),No,
crm_lead_info_basic,lead_office_phone,varchar(100),No,
crm_lead_info_basic,Website,varchar(100),No,
crm_lead_info_basic,lead_source,int(11),No,
crm_lead_info_basic,lead_source_description,varchar(200),No,
crm_lead_info_basic,lead_referred_by,varchar(100),No,
crm_lead_info_basic,lead_description,varchar(200),No,
crm_lead_info_basic,assign_to,int(11),No,
crm_lead_info_basic,Status,tinyint(4),No,
crm_lead_info_basic,created_at,timestamp,Yes,NULL
crm_lead_info_basic,created_by,int(11),No,
crm_lead_info_basic,updated_at,timestamp,Yes,NULL
crm_lead_info_basic,updated_by,int(11),No,
crm_lead_info_basic,deleted_at,timestamp,Yes,NULL
crm_lead_info_basic,deleted_by,int(11),No,
crm_lead_info_basic,project_id,int(11),No,
crm_lead_info_basic,Valid,tinyint(1),No,
crm_lead_opportunities,Id,int(11),No,
crm_lead_opportunities,lead_id,int(11),No,
crm_lead_opportunities,lead_opportunities_status,int(11),No,
crm_lead_opportunities,lead_opportunities_description,varchar(200),No,
crm_lead_opportunities,lead_category,int(11),No,
crm_lead_opportunities,currency_id,int(11),No,
crm_lead_opportunities,lead_opportunities_amount,"float(8,2)",No,
crm_lead_opportunities,Probability,Float,No,
crm_lead_opportunities,created_at,Timestamp,Yes,NULL
crm_lead_opportunities,created_by,int(11),No,
crm_lead_opportunities,updated_at,Timestamp,Yes,NULL
crm_lead_opportunities,updated_by,int(11),No,
crm_lead_opportunities,deleted_at,Timestamp,Yes,NULL
crm_lead_opportunities,deleted_by,int(11),No,
crm_lead_opportunities,project_id,int(11),No,
crm_lead_opportunities,Valid,tinyint(1),No,
crm_lead_products,Id,int(11),No,
crm_lead_products,lead_id,int(11),No,
crm_lead_products,product_id,int(11),No,
crm_lead_products,created_at,timestamp,Yes,NULL
crm_lead_products,created_by,int(11),No,
crm_lead_products,updated_at,timestamp,Yes,NULL
crm_lead_products,updated_by,int(11),No,
crm_lead_products,deleted_at,timestamp,Yes,NULL
crm_lead_products,deleted_by,int(11),No,
crm_lead_products,project_id,int(11),No,
crm_lead_products,Valid,tinyint(1),No,
crm_lead_source,Id,int(11),No,
crm_lead_source,source_name,varchar(50),No,
crm_lead_source,created_at,timestamp,Yes,NULL
crm_lead_source,created_by,int(11),No,
crm_lead_source,updated_at,timestamp,Yes,NULL
crm_lead_source,updated_by,int(11),No,
crm_lead_source,deleted_at,timestamp,Yes,NULL
crm_lead_source,deleted_by,int(11),No,
crm_lead_source,project_id,int(11),No,
crm_lead_source,Valid,tinyint(1),No,
crm_opportunities,Id,int(11),No,
crm_opportunities,account_id,int(11),No,
crm_opportunities,opportunity_name,varchar(100),No,
crm_opportunities,opportunity_type,int(11),No,
crm_opportunities,opportunity_source,int(11),No,
crm_opportunities,campaign_source,int(11),No,
crm_opportunities,budget_confirmed,tinyint(1),No,
crm_opportunities,analysis_completed,tinyint(1),No,
crm_opportunities,Status,int(11),No,
crm_opportunities,Category,int(11),No,
crm_opportunities,step_one_status,tinyint(4),No,
crm_opportunities,step_one_date,timestamp,Yes,NULL
crm_opportunities,step_two_status,tinyint(4),No,
crm_opportunities,step_two_date,timestamp,Yes,NULL
crm_opportunities,step_three_status,tinyint(4),No,
crm_opportunities,step_three_date,timestamp,Yes,NULL
crm_opportunities,step_four_status,tinyint(4),No,
crm_opportunities,step_four_date,timestamp,Yes,NULL
crm_opportunities,step_five_status,tinyint(4),No,
crm_opportunities,step_five_date,timestamp,Yes,NULL
crm_opportunities,step_final_status,tinyint(1),No,
crm_opportunities,step_final_date,timestamp,Yes,NULL
crm_opportunities,Stage,int(11),No,
crm_opportunities,Probability,tinyint(4),No,
crm_opportunities,currency_id,int(11),No,
crm_opportunities,opportunity_amount,"float(11,2)",No,
crm_opportunities,proposed_amount,"float(11,2)",No,
crm_opportunities,actual_amount,"float(11,2)",No,
crm_opportunities,closed_date,date,No,
crm_opportunities,lost_reason_id,int(11),No,
crm_opportunities,lost_reason_details,text,No,
crm_opportunities,assign_to,int(11),No,
crm_opportunities,created_at,timestamp,Yes,NULL
crm_opportunities,created_by,int(11),No,
crm_opportunities,updated_at,timestamp,Yes,NULL
crm_opportunities,updated_by,int(11),No,
crm_opportunities,deleted_at,timestamp,Yes,NULL
crm_opportunities,deleted_by,int(11),No,
crm_opportunities,project_id,int(11),No,
crm_opportunities,Valid,tinyint(1),No,
crm_opportunity_contact,Id,int(11),No,
crm_opportunity_contact,opportunity_id,int(11),No,
crm_opportunity_contact,contact_id,int(11),No,
crm_opportunity_contact,role_id,int(11),No,
crm_opportunity_contact,is_primary,tinyint(1),Yes,NULL
crm_opportunity_contact,created_at,timestamp,Yes,NULL
crm_opportunity_contact,created_by,int(11),No,
crm_opportunity_contact,updated_at,timestamp,Yes,NULL
crm_opportunity_contact,updated_by,int(11),No,
crm_opportunity_contact,deleted_at,timestamp,Yes,NULL
crm_opportunity_contact,deleted_by,int(11),No,
crm_opportunity_contact,project_id,int(11),No,
crm_opportunity_contact,Valid,tinyint(1),No,
